Dumbarton Oaks Research Library and Collection,"1703 32nd St NW, Washington, DC 20007",$0 per person
Dumbarton House,"2715 Q St NW, Washington, DC 20007",$10  per person
Decatur House,"748 Jackson Pl NW, Washington, DC 20006",$0 per person
DAR Museum,"1776 D St NW, Washington, DC 20006",$0 per person
Clara Barton Missing Soldiers Office,"437 7th Street NW, Washington, D.C. 20004",$10 per person
Charles Sumner School,"1201 17th St NW, Washington, DC 20036",$0 per person
Arthur M. Sackler Gallery,"1050 Independence Ave SW, Washington, DC 20560",$0 per person
Art Museum of the Americas,"201 18th St NW, Washington, DC 20006",$0 per person
Larz Anderson House,"2118 Massachusetts Ave NW, Washington, DC 20008",$0 per person
Anacostia Community Museum,"1901 Fort Pl SE, Washington, DC 20020",$0 per person
American University Museum,"4400 Massachusetts Ave NW, Washington, DC 20016",$0 per person
African American Civil War Memorial Museum,"1925 Vermont Ave NW, Washington, DC 20001",$0 per person
National Air and Space Museum,"600 Independence Ave SW, Washington, DC 20560",$0 per person
